id,title,original_language,release_date,rd_year,rd_month,rd_month_num,rd_day,rd_weekday,rd_weekday_num,runtime,runtime_cap,ROI,ROI_cap,budget,budget_cap,revenue,revenue_cap,vote_average,vote_average_cap,vote_count,vote_count_cap,popularity,popularity_cap,genres_count,genres_count_cap,prod_comp_count,prod_comp_count_cap,prod_countr_count,prod_countr_count_cap,spok_lang_count,spok_lang_count_cap,cast_size,cast_size_cap,crew_size,crew_size_cap,producer_count,producer_count_cap,director_count,director_count_cap,screenplay_count,screenplay_count_cap,if_franchise,if_homepage,is_dmp_month,is_friday,is_friday,is_thursday,is_wednesday,is_english_spoken,is_Drama,is_Comedy,is_Thriller,is_Action,is_Romance,is_Adventure,is_Crime,is_Science Fiction,is_Horror,is_Family,is_usa_prod,actor_top_freq,producer_top_freq,director_top_freq,screenplay_top_freq,is_prod_comp_top,ti_words_top_freq,ov_ta_words_top_freq
687.0,Dead Man Walking,en,1995-12-29,1995,Gru,12,29,Pt,5,122.0,122.0,2.5785122727272727,2.5785122727272727,11000000.0,11000000.0,39363635.0,39363635.0,7.3,7.3,350.0,350.0,6.891317,6.891317,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,42.0,42.0,95.0,78.0,5,5.0,1,1.0,2,2.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
9312.0,Mortal Kombat,en,1995-08-18,1995,Sie,8,18,Pt,5,101.0,101.0,5.788662222222222,5.788662222222222,18000000.0,18000000.0,122195920.0,122195920.0,5.4,5.4,452.0,452.0,10.870138,10.870138,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,11.0,15.0,15.0,5,5.0,1,1.0,3,3.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
577.0,To Die For,en,1995-05-20,1995,Maj,5,20,Sob,6,106.0,106.0,0.0642257,0.0642257,20000000.0,20000000.0,21284514.0,21284514.0,6.7,6.7,177.0,177.0,10.448481,10.448481,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,14.0,14.0,16.0,16.0,5,5.0,1,1.0,1,1.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
11861.0,How To Make An American Quilt,en,1995-10-06,1995,Paź,10,6,Pt,5,116.0,116.0,1.357413,1.357413,10000000.0,10000000.0,23574130.0,23574130.0,6.5,6.5,38.0,38.0,4.485958,4.485958,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,34.0,34.0,18.0,18.0,5,5.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
807.0,Se7en,en,1995-09-22,1995,Wrz,9,22,Pt,5,127.0,127.0,8.918541181818181,6.473539196969697,33000000.0,33000000.0,327311859.0,246626793.5,8.1,8.1,5915.0,1982.75,18.45743,18.45743,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,49.0,49.0,91.0,78.0,5,5.0,1,1.0,1,1.0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
10530.0,Pocahontas,en,1995-06-14,1995,Cze,6,14,Śr,3,81.0,81.0,5.292359509090909,3.484123518181818,55000000.0,55000000.0,346079773.0,246626793.5,6.7,6.7,1509.0,1509.0,13.280069,13.280069,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,16.0,16.0,31.0,31.0,1,1.0,2,1.0,3,3.0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
629.0,The Usual Suspects,en,1995-07-19,1995,Lip,7,19,Śr,3,106.0,106.0,2.890261333333333,2.890261333333333,6000000.0,6000000.0,23341568.0,23341568.0,8.1,8.1,3334.0,1982.75,16.302466,16.302466,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,18.0,18.0,64.0,64.0,6,6.0,1,1.0,0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
11448.0,Mighty Aphrodite,en,1995-09-13,1995,Wrz,9,13,Śr,3,95.0,95.0,-0.5533333333333333,-0.5533333333333333,15000000.0,15000000.0,6700000.0,6700000.0,6.7,6.7,145.0,145.0,15.899134,15.899134,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,12.0,12.0,30.0,30.0,3,3.0,1,1.0,1,1.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
10634.0,Friday,en,1995-04-26,1995,Kwi,4,26,Śr,3,91.0,91.0,7.061690857142857,7.061690857142857,3500000.0,3500000.0,28215918.0,28215918.0,7.0,7.0,513.0,513.0,14.56965,14.56965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,5.0,5.0,0,0.0,1,1.0,1,1.0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
755.0,From Dusk Till Dawn,en,1996-01-19,1996,Sty,1,19,Pt,5,108.0,108.0,0.3598218947368421,0.3598218947368421,19000000.0,19000000.0,25836616.0,25836616.0,6.9,6.9,1644.0,1644.0,15.339153,15.339153,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,33.0,33.0,117.0,78.0,5,5.0,1,1.0,1,1.0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
11859.0,Fair Game,en,1995-11-03,1995,Lis,11,3,Pt,5,91.0,91.0,-0.76931046,-0.76931046,50000000.0,50000000.0,11534477.0,11534477.0,4.1,4.149999999999999,54.0,54.0,5.912223,5.912223,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,18.0,18.0,14.0,14.0,1,1.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
36929.0,Big Bully,en,1996-01-26,1996,Sty,1,26,Pt,5,90.0,90.0,-0.8638313333333333,-0.8638313333333333,15000000.0,15000000.0,2042530.0,2042530.0,3.9,4.149999999999999,16.0,16.0,2.936443,2.936443,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,3.0,0,0.0,1,1.0,0,0.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
9102.0,Screamers,en,1995-09-08,1995,Wrz,9,8,Pt,5,108.0,108.0,-0.71090575,-0.71090575,20000000.0,20000000.0,5781885.0,5781885.0,6.1,6.1,154.0,154.0,12.758848,12.758848,2.0,2.0,6.0,6.0,3.0,3.0,1.0,1.0,9.0,9.0,35.0,35.0,2,2.0,1,1.0,2,2.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
400.0,Things to Do in Denver When You're Dead,en,1995-12-01,1995,Gru,12,1,Pt,5,116.0,116.0,-0.93377925,-0.93377925,8000000.0,8000000.0,529766.0,529766.0,6.7,6.7,87.0,87.0,4.486179,4.486179,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,8.0,8.0,1,1.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
10534.0,White Squall,en,1996-02-02,1996,Lut,2,2,Pt,5,129.0,129.0,-0.7289473684210527,-0.7289473684210527,38000000.0,38000000.0,10300000.0,10300000.0,6.3,6.3,86.0,86.0,9.568604,9.568604,2.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,15.0,15.0,10.0,10.0,3,3.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2086.0,Nick of Time,en,1995-11-22,1995,Lis,11,22,Śr,3,90.0,90.0,0.0007323704430810578,0.0007323704430810578,8169363.0,8169363.0,8175346.0,8175346.0,6.1,6.1,190.0,190.0,6.848591,6.848591,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,10.0,10.0,1,1.0,1,1.0,1,1.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
9095.0,Mary Reilly,en,1996-02-23,1996,Lut,2,23,Pt,5,104.0,104.0,-0.7366084680851064,-0.7366084680851064,47000000.0,47000000.0,12379402.0,12379402.0,5.7,5.7,77.0,77.0,12.866139,12.866139,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,11.0,14.0,14.0,4,4.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
12158.0,Vampire in Brooklyn,en,1995-10-26,1995,Paź,10,26,Czw,4,100.0,100.0,0.4142857142857143,0.4142857142857143,14000000.0,14000000.0,19800000.0,19800000.0,4.5,4.5,113.0,113.0,9.071127,9.071127,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,11.0,11.0,4,4.0,1,1.0,3,3.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0
9208.0,Broken Arrow,en,1996-02-09,1996,Lut,2,9,Pt,5,108.0,108.0,2.00540294,2.00540294,50000000.0,50000000.0,150270147.0,150270147.0,5.7,5.7,459.0,459.0,14.957626,14.957626,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,15.0,15.0,17.0,17.0,9,9.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
13685.0,Bottle Rocket,en,1996-02-21,1996,Lut,2,21,Śr,3,91.0,91.0,-0.9199901428571429,-0.9199901428571429,7000000.0,7000000.0,560069.0,560069.0,6.8,6.8,285.0,285.0,6.904831,6.904831,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,12.0,12.0,18.0,18.0,10,10.0,1,1.0,2,2.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
9614.0,Happy Gilmore,en,1996-02-16,1996,Lut,2,16,Pt,5,92.0,92.0,2.43375825,2.43375825,12000000.0,12000000.0,41205099.0,41205099.0,6.5,6.5,767.0,767.0,9.592265,9.592265,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,17.0,17.0,10.0,10.0,3,3.0,1,1.0,2,2.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
688.0,The Bridges of Madison County,en,1995-05-28,1995,Maj,5,28,Nie,7,135.0,135.0,6.584025708333333,6.584025708333333,24000000.0,24000000.0,182016617.0,182016617.0,7.3,7.3,397.0,397.0,5.951077,5.951077,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,12.0,12.0,13.0,13.0,4,4.0,1,1.0,1,1.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1
